symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2025-05-09,199.0,200.54,197.54,198.53,36453923,-0.47,-0.23618,198.9025
AAPL,2025-05-08,197.72,200.05,194.68,197.49,50478900,-0.23,-0.11633,197.485
AAPL,2025-05-07,199.17,199.44,193.25,196.25,68616943,-2.92,-1.47,197.0275
AAPL,2025-05-06,198.21,200.65,197.02,198.51,51216500,0.3,0.15135,198.5975
AAPL,2025-05-05,203.1,204.1,198.21,198.89,69018500,-4.21,-2.07,201.075
AAPL,2025-05-02,206.09,206.99,202.16,205.35,101010621,-0.74,-0.35907,205.1475
AAPL,2025-05-01,209.08,214.56,208.9,213.32,57365700,4.24,2.03,211.465
AAPL,2025-04-30,209.3,213.58,206.67,212.5,52286500,3.2,1.53,210.5125
AAPL,2025-04-29,208.69,212.24,208.37,211.21,36827633,2.52,1.21,210.1275
AAPL,2025-04-28,210.0,211.5,207.46,210.14,38743100,0.14,0.06666667,209.775
AAPL,2025-04-25,206.37,209.75,206.2,209.28,38222300,2.91,1.41,207.9
AAPL,2025-04-24,204.89,208.83,202.94,208.37,47311000,3.48,1.7,206.2575
AAPL,2025-04-23,206.0,208.0,202.8,204.6,52929200,-1.4,-0.67961,205.35
AAPL,2025-04-22,196.12,201.59,195.97,199.74,52976400,3.62,1.85,198.355
AAPL,2025-04-21,193.27,193.8,189.81,193.16,46742537,-0.105,-0.0569152,192.51
AAPL,2025-04-17,197.2,198.83,194.42,196.98,52164700,-0.22,-0.11156,196.8575
AAPL,2025-04-16,198.36,200.7,192.37,194.27,59732423,-4.09,-2.06,196.425
AAPL,2025-04-15,201.86,203.51,199.8,202.14,51343900,0.285,0.13871,201.8275
AAPL,2025-04-14,211.44,212.94,201.16,202.52,101352911,-8.92,-4.22,207.015
AAPL,2025-04-11,186.1,199.54,186.06,198.15,87435915,12.05,6.48,192.4625
AAPL,2025-04-10,189.07,194.78,183.0,190.42,121880000,1.35,0.71402,189.3175
AAPL,2025-04-09,171.95,200.61,171.89,198.85,184395900,26.9,15.64,185.825
AAPL,2025-04-08,186.7,190.34,169.21,172.42,120859500,-14.28,-7.65,179.6675
AAPL,2025-04-07,177.2,194.15,174.62,181.46,160466300,4.26,2.4,181.8575
AAPL,2025-04-04,193.89,199.88,187.34,188.38,125910913,-5.51,-2.84,192.3725
AAPL,2025-04-03,205.54,207.49,201.25,203.19,103419006,-2.35,-1.14,204.3675
AAPL,2025-04-02,221.32,225.19,221.02,223.89,35905904,2.57,1.16,222.855
AAPL,2025-04-01,219.81,223.68,218.9,223.19,36412740,3.38,1.54,221.395
